대통령,윤석열,국가원수,문관,,왕
국무총리,한덕수,총리급,문관,,정1품
국회의장,김진표,총리급,문관,,정1품
대법원장,안철상,총리급,문관,,정1품
헌법재판소장,유남석,총리급,문관,,정1품
경제부총리,추경호,부총리급,문관,,종1품
감사원장,최재해,부총리급,문관,,종1품
국회부의장,김영주,부총리급,문관,,종1품
법무부장관,한동훈,장관급,문관,,정2품
국방부장관,신원식,장관급,무관,,정2품
서울시장,오세훈,장관급,문관,,정2품
대법관,권영준,장관급,문관,,정2품
검찰총장,이원석,장관급,문관,,정2품
중진국회의원,이재명,장관급,문관,,정2품
경기도지사,김동연,차관급,문관,,정2품
대구광역시장,홍준표,차관급,문관,,정2품
합동참모의장,김승겸,차관급,무관,,정2품
치안총감,윤희근,차관급,무관,,정2품
국방부차관,김선호,차관급,무관,,정2품
서울지방법원장,김정중,준차관급,문관,,종2품
육군특수전사령관,손식,준차관급,무관,,종2품
제3군단장,김봉수,준차관급,무관,,종2품
기획재정부 차관보,홍두선,준차관급,문관,,종2품
경기도 행정1부지사,오병권,1급,문관,,정3품
경기도 경제부지사,염태영,1급,문관,,정3품
육군훈련소장,이용환,1급,무관,,정3품
12사단장,조종래,1급,무관,,정3품
치안감,이문수,2급,무관,,종3품
과천시장,신계용,2급,문관,,종3품
제1공수특전여단장,석용규,2급,무관,,종3품
수원시장,이재준,2급,문관,,종3품
동작세무서장,박강수,3급,문관,,정4품
가평군수,서태원,3급,문관,,정4품
중령,대한민국 국군 중령,3급,무관,,종4품
동작구청장,박일하,4급,문관,,정5품
소령,대한민국 국군 소령,4급,무관,,종5품
계장,대한민국 행정부 계장,5급,문관,,정6품
대위,대한민국 국군 대위,5급,무관,,종6품
주무관,대한민국 행정부 주무관,6급,문관,,정7품
중위,대한민국 국군 중위,6급,무관,,정7품
주사보,김선태,7급,문관,,종7품
소위,대한민국 국군 소위,7급,무관,,정8품
서기,대한민국 행정부 서기,8급,문관,,정9품
상사,대한민국 국군 상사,8급,무관,,종8품
서기보,대한민국 행정부 서기보,9급,문관,,종9품
하사,대한민국 국군 하사,9급,무관,,종9품
